hotel,address,price,score,avg review,reviews count,lodgingtype,distancecity,deals,url
Hotel AL Amin,"Bukit Bintang, Kuala Lumpur",MYR 68,"7.3
Scored 7.3",Good,253,Standard Double Room with Fan,1.4 km from centre,Limited-time Deal. You’re getting a reduced rate because this property has a limited-time deal running. These deals only last up to 48 hours..,https://www.booking.com/hotel/my/m-floor-al-amin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1046119901_378900866_2_0_0&highlighted_blocks=1046119901_378900866_2_0_0&matching_block_id=1046119901_378900866_2_0_0&sr_pri_blocks=1046119901_378900866_2_0_0__6840&from=searchresults
Sofitel Kuala Lumpur Damansara,Kuala Lumpur,MYR 690,"8.6
Scored 8.6",Fabulous,"1,953",Luxury King Room,5.1 km from centre,No deals available,https://www.booking.com/hotel/my/sofitel-kuala-lumpur-damansara.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=231123501_107271422_2_42_0&highlighted_blocks=231123501_107271422_2_42_0&matching_block_id=231123501_107271422_2_42_0&sr_pri_blocks=231123501_107271422_2_42_0__69000&nad_id=3cf87617-88bf-4574-b0e3-9e35131374b8_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Im5VS1RBNlA1ZXZBLzdCUkt3R0NBN3dTb2lyajExWG5yRmdvTGxodHpFZFNuNys5bUYwM0NLc3NlcFcyMFVMMnhCUFJNcTVMUlhLVE9LbkEyTFVPQVFBTVZ2YVFPQVQ2RGF2ekZ4MG9ES1dvdkVUOVYwZDRHd0phUlFBWjNsOFloV3N1QlJDcWVJVzhiN3BlUEcvVzlWcmM5ZjVNRUZUOHpMS2xtK2xiZjdoTWtZUENGdUUxMkhUOFpndkV4dzRaRWd2Y3M0MzZKdk1oWVVQdjEvRGNNWmQwNmg0d1l3TmF5d3ZiVWpsUnhjb0JkeDRLTXgzd2FzLzlROU90Nm1nMnhSRXUwMnZ1L2tINzZERHUrSng2c1ZPNlpoVndPK0JRbnE3VkZSUnFuQTJidnJnNzlBMjRUL2NPZy9QM3ZCTEMyWWtlWVRyVjZ0bHhkQzdyOWNtcHhKRzJHb0QzSlF6bmJqdFZqOTFyYzZscXY3MXducmVUTHZWTDdQMjJrUnlkK2t5L0h3YjkwVDZxYTNKNUJaSUkvUjdHdGY0K0JrZGZuWlNmUmx6aTJBVnVUeGdmY3FBZGJyMjdQSzlRa1NWekd3YzM0dGxFckU5cG9JQUg1cS92eEF5SFZjZ3hKbjdqTHNFekwzZXJ4SWx0aGdHc1FxTVJaOUFCVEJGbVFoU2xLMll3TVZsVW4wRlRrL2FZTEZJK3ZpaXFObUdjTitiTEVWdkFXWmxEcjZTK2JKQVpBQnJnbjJ2ZWw3ZXNFR3E3TG5YM00ycm8yUTYvelRPcEtVUEdOY0dxSWFRTXNoejRQT2Q2am1GU0ZzVXNUeTN4S1ozaVJGWSt6ZmFHb0hmdHRsMHlhTGRtbmgvMDNtK3l4ck92MnQzOHhrNXhWYm9oTnQxUlBaRlVPb3lHK1duSFZpeE4vK1oyS25yNWJtS0Q5Q0Y0UndkdkhOYTV5dGNjZVFEM0xHdXFGcGFvWFkybzg5OUxZTjhYUlhURVNRNjF2V1JGbGNOVW5NS1RCdHVka3R4ejJyL3piSE81OEtHeTlJTUNJZVJyMnhUQTlsRVVOeVRnWGp4cWY2YU9CdEJoR0xrQlVrL1VZd3ZiWDdISkhXK2VsbE9oR0liSzRabjhTUXhndkordmpMOHBJM1hJYUtEZ24xQUFISzVEZHlBRDJRTkljWUx4RHhxOG9jdHdGRnNmMzE5NldjL3k2dXlDT01hRlA1dEJvZG1BRHhyTDY2cVZSM282Z2xFeHI1RlBVNFo2WGkxdUd0VW9jaFMzS2dJOWtjY0pzamJWSnBSalhoTC9QYWRJejFhcHVqUjNnam53RHMyRDB1Zit6Y1oyNHFEQUFkUWhYeVhJaml3SGlPQXFJR09hYlAxYWFXTmhzZm82ZEdiSHZaTGhKMU5jRzF2R1ZJME1qWnZHMjNMRDErOVIvYzhGNUpUL3RiTkRYVVI2MlVoV3htUG5HUHZscUhiWnlpeWFOSlVTRjRxa3lod3g3UUo5aEI5N2xISER5bWhvd2RqRC9FTktmOWh1QmpvVXZvcWNOWEVlVnEwMGhTWGxIWEttZE9YOG9SVEtUb0NEcVl2RGNXcVF1R081RWRuL3JjSnJWU25GL0drV1YzV3E4Y2Y4blc4UnZ0WFFOeFNPN2F0M1JycnFnWTdQbW43b2tWZXlCbENuWVN2cHp5ajVzMjV4c3JtNmxmYmdld0s0M1drWXVySkluTGVRQWpiM2MxS0xXTldvRll6WjJiS28zRkZkZThSRlpWeW1OWEJkYWs4MUI0MFBXL3Exc2t5Mis4UERsYVNPaHJpVlZmczBlUWU0QXllc3JHeTArMkxpUlpkTGdJNGtvZWQ5QXVTMXEzYnBqM0JJWmpoVmtJWW15VXIralMwVmV2MXFFZ25TYWZhZVFqbEZ3RHhQcFhtWDNFRS9hODJhckdVK2Npd0IrU3l3N3BYcFdPRGlXNEVQVUltSm85UytLOXVURlhaNVI0Y09PQ1NYVFd6c2p4VDk4bXdCZGpCbzkwR2ZGYnplTHlvZDFsWFk4ajZPUTJTWVpxekI1NnpjSnNnVlVsZVdXeCtyYXBlMk1nWWZwQkV0bGJNanc1TDJIVzUwTlp1SG9Iejg2czlXWTRZdnExc3NaTk9HdGJvTnBUMEU5dHVqbUoyVWpDV1cxRkFsWXdsemN4K29Ldi9Ud3ZuSERHVDhNZmlYTUJsZmpQdzBqZ1BsS200ejlQSlNXZU54NFBGWEptVlNPNXFCdWJENVhZTUpjOFEwOGpmWW43WUtTVHd4MGxmWFBDdzhnNTJwSnFQcHMzKytVWFZmTzd5TlhMS1liWXBrdnhJWVdTZ09CbTFMcmdqNitNWkJoU0VhTllMaW1tWmZVWFZrSTdTeHVsaC9xN2c1dHA5MEpVOFhWL1BYV0M0MDllMTVLYmorSk9yUFNoTGJ3OXFhcEUrTGhCNmRnNHZSbzZFZ2VscndLVFkyckRUUDBFZDNQcExqZmNNY0VReG9ndjhVWkt1QXRlUGtFbFZEYmRjYldtbVcyOEhhNWdDYkdrUjZadjBqeE5oMkcrVzhkcGJyMnBpaHVpamJyNzY3dEhaYXAvd3V3RWhmMFhvM3RNT1JsWm9wcERsQjlEYldBY0ZjeVkzRzk0RlZZZkptcWtDeG1sVm5xK05SRmlJakdjbFZRRXlXZXlWSGRaaG45cGlxdmdxSmY4dGQxSkxraHVaSFY4bmxOSGh5NStyOUgvbDNxWW9nTVhBNTV5bnJKcUFOWW1tYXlIcHB1dThNTWFpYmJQaS9hL0I1LzZ0MDVHdGVPZnNORm1TSGhGTVpVR05FRDFxOE13cnF0a09neTdueWRHbHVGTUVxdzlkTm9kb2lKRnJTaE5JUG1GSXZqYlZidTZGTGJ3SU5QKzFGNXRwY0FpL0tJUHcvOTYxL280cnRrL3AzSVBtWXluQzBiV3dCQVk1bk5OeFV6NmJDRVh5NTY0Wk1yT3czOVY0MFNzNEkrTXJmZVRGWXRmbGE5THJnbU5FTENEc3ZOMmxLdWJ5bHFsNzVkaG5GazB3VE9SVUVCclF5dXM1V3dRSG9jSTNDSGZjTUVjekVSVm5oeEQzTE5nbkhoVnpLSm81aE9QUUxTajJiNXEyZzFiNERGcWRldHAxRnh0OUFQRWE0cjUzUUZFSStyUk53ZDdXcm5ZNmYxT00wT2ZIUXVNYzJJZ053YVhZYWRyYjduUmNtTTZDRnFiVnpaSjBYbXF6dGk0aHBzdk1kZ05meEFJbCsvWnNERU50b0VrbDV0NWpBSmNsOTIrTXRORnloZ0U5cG0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults
EMAS Service Suite Times Square,"Bukit Bintang, Kuala Lumpur",MYR 279,"10
Scored 10",Exceptional,3,One-Bedroom Apartment,1.3 km from centre,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..,https://www.booking.com/hotel/my/em-suite-berjaya-times-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1167790901_389458914_2_0_0&highlighted_blocks=1167790901_389458914_2_0_0&matching_block_id=1167790901_389458914_2_0_0&sr_pri_blocks=1167790901_389458914_2_0_0__27924&from_sustainable_property_sr=1&from=searchresults
AGILE Service Suite Bukit Bintang KL,"Bukit Bintang, Kuala Lumpur",MYR 175,"10
Scored 10",Exceptional,4,Deluxe One-Bedroom Apartment,1.6 km from centre,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..,https://www.booking.com/hotel/my/agile-service-suite-bukit-bintang-kl.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1218879404_394914669_2_0_0&highlighted_blocks=1218879404_394914669_2_0_0&matching_block_id=1218879404_394914669_2_0_0&sr_pri_blocks=1218879404_394914669_2_0_0__17500&from=searchresults
Star KLCC by BHS,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 444,"10
Scored 10",Exceptional,3,One-Bedroom Apartment with City View,1 km from centre,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..,https://www.booking.com/hotel/my/star-klcc-by-bhs.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1210726401_393668210_0_0_0&highlighted_blocks=1210726401_393668210_0_0_0&matching_block_id=1210726401_393668210_0_0_0&sr_pri_blocks=1210726401_393668210_0_0_0__44402&from=searchresults
Radisson Apartment At Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 296,"9.9
Scored 9.9",Exceptional,8,One-Bedroom Apartment,1.3 km from centre,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..,https://www.booking.com/hotel/my/best-facilities-services-suites-at-times-square-kl.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1156749501_388471518_2_0_0&highlighted_blocks=1156749501_388471518_2_0_0&matching_block_id=1156749501_388471518_2_0_0&sr_pri_blocks=1156749501_388471518_2_0_0__29625&from_sustainable_property_sr=1&from=searchresults
Raymond Suites Berjaya Times Square kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 270,"9.9
Scored 9.9",Exceptional,8,Studio Apartment,1.3 km from centre,No deals available,https://www.booking.com/hotel/my/raymond-apartment-at-times-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1164572301_389132474_2_0_0&highlighted_blocks=1164572301_389132474_2_0_0&matching_block_id=1164572301_389132474_2_0_0&sr_pri_blocks=1164572301_389132474_2_0_0__26955&from_sustainable_property_sr=1&from=searchresults
TRU Suites At Time Square Kuala Lumpur Malaysia,"Bukit Bintang, Kuala Lumpur",MYR 335,"9.8
Scored 9.8",Exceptional,4,One-Bedroom Apartment,1.3 km from centre,No deals available,https://www.booking.com/hotel/my/true-suites-at-time-square-kuala-lumpur-malaysia.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1207041204_393045325_2_0_0&highlighted_blocks=1207041204_393045325_2_0_0&matching_block_id=1207041204_393045325_2_0_0&sr_pri_blocks=1207041204_393045325_2_0_0__33500&from_sustainable_property_sr=1&from=searchresults
CITY SERVICE SUITES at TIMES SQUARE,"Bukit Bintang, Kuala Lumpur",MYR 229,"9.8
Scored 9.8",Exceptional,6,Standard Studio,1.3 km from centre,No deals available,https://www.booking.com/hotel/my/crystal-suites-at-berjaya-times-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=980294606_383566325_2_0_0&highlighted_blocks=980294606_383566325_2_0_0&matching_block_id=980294606_383566325_2_0_0&sr_pri_blocks=980294606_383566325_2_0_0__22900&from_sustainable_property_sr=1&from=searchresults
Eaton Residences KLCC by Ikon,"Bukit Bintang, Kuala Lumpur",MYR 487,"9.8
Scored 9.8",Exceptional,26,One-Bedroom Apartment,1.4 km from centre,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..,https://www.booking.com/hotel/my/eaton-residences-klcc-by-ikon.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8f826e82ffb200cd&srepoch=1718811860&all_sr_blocks=1202188901_392484324_2_0_0&highlighted_blocks=1202188901_392484324_2_0_0&matching_block_id=1202188901_392484324_2_0_0&sr_pri_blocks=1202188901_392484324_2_0_0__48718&from_sustainable_property_sr=1&from=searchresults
